frame,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
421,531.04,10.22,2.87,True,True,True
422,530.07,10.21,2.90,True,True,True
423,526.36,10.31,2.91,True,True,True
424,537.03,10.47,2.97,True,False,True
425,531.70,10.53,2.99,True,False,True
426,545.64,10.65,3.04,True,False,True
427,534.05,10.66,3.05,True,False,True
428,547.59,10.88,3.12,True,False,True
429,548.11,11.00,3.16,True,False,True
430,558.89,11.19,3.21,True,False,True
431,546.95,11.23,3.23,True,False,True
432,549.88,11.18,3.25,True,False,True
433,549.71,11.18,3.27,True,False,True
434,584.59,12.47,4.03,False,False,True
435,612.96,13.75,4.34,False,False,True
436,556.22,11.97,3.61,False,False,True
437,548.71,11.55,3.48,False,False,True
438,557.39,11.30,3.31,True,False,True
439,584.11,12.48,3.94,False,False,True
440,594.28,13.70,4.25,False,False,True
441,558.97,12.13,3.72,False,False,True
442,523.34,11.36,3.40,True,True,True
443,540.99,11.40,3.36,True,False,True
444,537.11,11.42,3.37,True,False,True
445,541.09,11.48,3.37,False,False,True
446,540.78,11.49,3.36,False,False,True
447,582.08,13.31,4.15,False,False,True
448,535.39,11.43,3.31,True,False,True
449,531.65,11.41,3.31,True,False,True
450,558.73,11.77,3.42,False,False,True
451,544.60,11.68,3.41,False,False,True
452,607.61,13.30,4.11,False,False,True
453,536.72,11.01,3.17,True,False,True
454,541.76,11.02,3.19,True,False,True
455,516.87,10.90,3.15,True,True,True
456,540.71,10.93,3.13,True,False,True
457,541.87,10.99,3.15,True,False,True
458,535.21,10.81,3.10,True,False,True
459,539.46,10.87,3.11,True,False,True
460,588.98,12.16,3.58,False,False,True
461,549.08,11.03,3.14,True,False,True
462,558.87,11.03,3.14,True,False,True
463,587.27,13.02,3.85,False,False,True
464,522.05,10.72,3.04,True,True,True
465,550.25,11.71,3.41,False,False,True
466,545.10,10.95,3.14,True,False,True
467,525.52,10.63,3.02,True,True,True
468,525.27,10.68,3.09,True,True,True
469,528.18,10.66,3.06,True,True,True
470,525.91,10.37,2.95,True,True,True
471,521.63,10.37,2.95,True,True,True
472,570.30,11.56,3.40,False,False,True
473,525.76,10.37,2.93,True,True,True
474,541.31,10.65,3.02,True,False,True
475,568.97,12.88,3.71,False,False,True
476,552.84,11.45,3.42,True,False,True
477,575.68,11.88,3.43,False,False,True
478,536.14,10.45,2.91,True,True,True
479,537.69,10.45,2.90,True,True,True
480,589.32,11.87,3.45,False,False,True
481,540.27,11.05,3.18,True,False,True
482,545.03,10.45,2.90,True,True,True
483,535.10,10.33,2.85,True,True,True
484,542.87,10.41,2.87,True,True,True
485,582.48,13.48,4.03,False,False,True
486,552.07,10.64,2.95,True,False,True
487,530.81,10.38,2.84,True,True,True
488,528.69,10.45,2.84,True,True,True
489,516.35,10.36,2.83,True,True,True
490,566.49,11.08,3.11,True,False,True
491,518.05,10.29,2.80,True,True,True
492,524.34,10.41,2.84,True,True,True
493,517.84,10.31,2.81,True,True,True
494,527.50,10.39,2.82,True,True,True
495,525.86,10.50,2.82,True,True,True
496,574.25,11.97,3.32,False,False,True
497,541.27,12.68,3.33,False,False,True
498,573.02,10.71,2.87,True,False,True
499,543.91,10.61,2.84,True,False,True
500,556.44,10.69,2.85,True,False,True
501,575.30,11.38,3.05,True,False,True
502,587.62,12.75,3.31,False,False,True
503,551.73,10.53,2.84,True,False,True
504,548.80,10.75,2.87,True,False,True
505,548.08,10.73,2.87,True,False,True
506,582.20,12.23,3.20,False,False,True
507,557.43,10.69,2.88,True,False,True
508,556.46,10.63,2.88,True,False,True
509,551.88,10.59,2.86,True,False,True
510,562.13,10.64,2.89,True,False,True
511,555.77,10.66,2.89,True,False,True
512,542.46,10.75,2.90,True,False,True
513,529.48,10.74,2.90,True,True,True
514,541.23,10.89,2.94,True,False,True
515,542.60,10.98,2.97,True,False,True
516,537.59,10.93,2.98,True,False,True
517,541.05,10.96,2.98,True,False,True
518,540.69,11.02,3.00,True,False,True
519,536.97,11.14,3.02,True,False,True
520,547.75,11.31,3.06,True,False,True
521,541.89,11.18,3.05,True,False,True
522,551.32,11.32,3.09,True,False,True
523,538.30,11.21,3.07,True,False,True
524,584.37,12.88,3.43,False,False,True
525,550.96,11.39,3.12,True,False,True
526,549.51,11.43,3.14,True,False,True
527,536.36,11.51,3.16,True,False,True
528,548.45,11.64,3.18,False,False,True
529,548.05,11.73,3.22,False,False,True
530,543.28,11.72,3.24,False,False,True
531,547.85,11.87,3.25,False,False,True
532,546.33,11.97,3.26,False,False,True
533,541.21,11.97,3.20,False,False,True
534,551.77,11.74,3.10,False,False,True
535,546.24,11.69,3.05,False,False,True
536,534.64,11.68,3.02,True,False,True
537,522.37,11.64,3.06,True,True,True
538,534.40,11.73,3.07,True,False,True
539,534.49,12.04,3.11,True,False,True
540,530.95,12.43,3.22,True,False,True
541,534.13,12.43,3.26,True,False,True
542,532.70,12.14,3.16,True,False,True
543,528.68,11.83,3.10,True,True,True
544,538.96,11.89,3.14,False,False,True
545,533.37,11.81,3.11,True,False,True
546,547.80,11.92,3.11,False,False,True
547,535.34,11.85,3.10,True,False,True
548,548.01,11.85,3.10,False,False,True
549,548.11,11.76,3.09,False,False,True
550,550.44,11.59,3.06,False,False,True
551,556.78,11.83,3.12,False,False,True
552,598.52,13.75,3.91,False,False,True
553,547.67,11.23,3.00,True,False,True
554,544.91,11.22,3.01,True,False,True
555,550.31,11.27,3.01,True,False,True
556,534.64,11.03,2.95,True,False,True
557,578.95,13.05,3.79,False,False,True
558,552.24,10.45,2.81,True,True,True
559,545.83,10.32,2.76,True,True,True
560,519.02,10.08,2.69,True,True,True
561,508.50,9.91,2.64,True,True,True
562,523.32,9.83,2.63,True,True,True
563,522.96,9.83,2.63,True,True,True
564,518.39,9.76,2.63,True,True,True
565,521.70,9.77,2.63,True,True,True
566,520.97,9.77,2.63,True,True,True
567,517.00,9.75,2.61,True,True,True
568,526.84,9.78,2.64,True,True,True
569,521.49,9.68,2.62,True,True,True
570,536.89,9.76,2.62,True,True,True
571,551.83,9.89,2.65,True,True,True
572,563.21,10.19,2.69,True,True,True
573,554.83,9.58,2.58,True,True,True
574,555.53,9.59,2.60,True,True,True
575,542.02,9.56,2.58,True,True,True
576,543.42,9.48,2.56,True,True,True
577,542.93,9.44,2.56,True,True,True
578,538.54,9.37,2.56,True,True,True
579,542.82,9.44,2.55,True,True,True
580,542.00,9.44,2.54,True,True,True
581,537.53,9.48,2.52,True,True,True
582,548.68,9.57,2.54,True,True,True
583,544.07,9.58,2.54,True,True,True
584,534.37,9.62,2.53,True,True,True
585,522.71,9.59,2.51,True,True,True
586,556.90,10.50,2.83,True,False,True
587,543.30,9.50,2.52,True,True,True
588,538.52,9.44,2.51,True,True,True
589,542.04,9.53,2.52,True,True,True
590,541.14,9.54,2.52,True,True,True
591,534.60,9.61,2.51,True,True,True
592,544.12,9.73,2.54,True,True,True
593,537.97,9.71,2.52,True,True,True
594,546.13,9.84,2.54,True,True,True
595,533.31,9.68,2.51,True,True,True
596,545.69,9.72,2.51,True,True,True
597,545.65,9.73,2.52,True,True,True
598,543.74,9.80,2.53,True,True,True
599,530.25,9.78,2.52,True,True,True
600,542.54,9.83,2.53,True,True,True
601,542.60,9.88,2.53,True,True,True
602,537.82,9.88,2.53,True,True,True
603,542.26,10.01,2.55,True,True,True
604,541.65,10.05,2.55,True,True,True
605,537.06,10.10,2.55,True,True,True
606,548.15,10.14,2.57,True,True,True
607,541.97,10.13,2.56,True,True,True
608,529.84,10.17,2.55,True,True,True
609,518.03,10.18,2.54,True,True,True
610,530.41,10.29,2.56,True,True,True
611,529.96,10.29,2.56,True,True,True
612,526.15,10.44,2.57,True,True,True
613,558.79,11.13,2.85,True,False,True
614,528.13,10.10,2.58,True,True,True
615,524.37,10.27,2.60,True,True,True
616,534.81,10.33,2.61,True,True,True
617,529.69,10.47,2.61,True,True,True
618,544.99,10.66,2.64,True,False,True
619,532.50,10.67,2.63,True,False,True
620,545.01,10.79,2.64,True,False,True
621,545.00,10.85,2.64,True,False,True
622,557.08,10.95,2.67,True,False,True
623,543.40,10.95,2.66,True,False,True
624,555.87,11.04,2.67,True,False,True
625,555.92,11.08,2.69,True,False,True
626,551.25,11.11,2.69,True,False,True
627,555.97,11.27,2.71,True,False,True
628,555.33,11.32,2.72,True,False,True
629,551.69,11.42,2.72,True,False,True
630,561.13,11.42,2.74,True,False,True
631,554.59,11.39,2.73,True,False,True
632,542.45,11.38,2.73,True,False,True
633,530.52,11.33,2.72,True,False,True
634,542.78,11.43,2.74,True,False,True
635,542.76,11.47,2.75,True,False,True
636,538.07,11.47,2.75,True,False,True
637,541.80,11.55,2.76,True,False,True
638,541.23,11.58,2.77,True,False,True
639,537.33,11.65,2.77,True,False,True
640,547.54,11.77,2.79,True,False,True
641,542.45,11.81,2.79,True,False,True
642,583.16,13.33,3.22,False,False,True
643,562.58,11.81,2.79,True,False,True
644,558.01,11.93,2.82,True,False,True
645,558.17,12.05,2.85,True,False,True
646,555.73,12.22,2.88,False,False,True
647,596.24,16.66,3.93,False,False,True
648,554.05,12.13,2.84,True,False,True
649,552.65,12.14,2.84,True,False,True
650,548.03,12.11,2.84,True,False,True
651,552.24,12.17,2.85,True,False,True
652,551.34,12.20,2.85,True,False,True
653,576.31,13.54,3.23,False,False,True
654,568.63,12.25,2.87,False,False,True
655,582.47,12.70,3.04,False,False,True
656,555.92,12.17,2.86,False,False,True
657,542.94,12.08,2.82,True,False,True
658,552.76,12.19,2.83,True,False,True
659,552.77,12.21,2.83,True,False,True
660,548.38,12.23,2.84,True,False,True
661,551.66,12.26,2.84,True,False,True
662,550.94,12.20,2.84,True,False,True
663,546.94,12.18,2.82,True,False,True
664,556.61,12.21,2.84,True,False,True
665,551.21,12.16,2.83,True,False,True
666,552.59,11.90,2.80,True,False,True
667,538.75,11.83,2.77,True,False,True
668,576.39,12.55,2.91,False,False,True
669,573.59,12.50,2.89,False,False,True
670,572.35,12.33,2.87,False,False,True
671,554.69,11.76,2.77,True,False,True
672,567.30,11.83,2.78,True,False,True
673,567.03,11.86,2.78,True,False,True
674,562.78,11.84,2.78,True,False,True
675,566.95,11.91,2.78,True,False,True
676,565.87,11.89,2.78,True,False,True
677,561.38,11.88,2.77,True,False,True
678,572.75,12.00,2.80,True,False,True
679,567.49,12.03,2.79,True,False,True
680,555.80,12.13,2.79,True,False,True
681,541.72,12.13,2.78,True,False,True
682,552.94,12.30,2.81,True,False,True
683,553.31,12.41,2.84,True,False,True
684,535.55,11.88,2.76,True,False,True
685,537.75,11.93,2.76,True,False,True
686,537.16,11.90,2.76,True,False,True
687,532.66,11.88,2.75,True,False,True
688,542.45,11.93,2.77,True,False,True
689,537.41,11.95,2.77,True,False,True
690,552.42,12.05,2.78,True,False,True
691,539.75,12.01,2.77,True,False,True
692,552.15,12.09,2.78,True,False,True
693,552.21,12.12,2.79,True,False,True
694,546.47,12.10,2.79,True,False,True
695,533.94,12.19,2.80,True,False,True
696,547.06,12.36,2.82,True,False,True
697,548.51,12.48,2.84,True,False,True
698,544.82,12.55,2.85,True,False,True
699,547.40,12.54,2.84,True,False,True
700,546.35,12.53,2.84,True,False,True
701,541.59,12.56,2.84,True,False,True
702,554.05,12.39,2.84,True,False,True
703,546.83,12.40,2.83,True,False,True
704,567.43,14.15,3.35,False,False,True
705,522.96,12.40,2.87,True,True,True
706,533.49,12.25,2.81,True,False,True
707,533.56,12.32,2.81,True,False,True
708,528.86,12.30,2.81,True,True,True
709,533.52,12.46,2.85,True,False,True
710,532.71,12.46,2.83,True,False,True
711,528.56,12.46,2.82,True,True,True
712,539.78,12.73,2.90,False,False,True
713,533.81,12.59,2.87,True,False,True
714,548.48,12.63,2.86,False,False,True
715,536.56,12.74,2.89,True,False,True
716,548.54,12.59,2.85,True,False,True
717,548.46,12.61,2.85,True,False,True
718,557.99,12.68,2.87,False,False,True
719,571.42,17.05,3.72,False,False,True
720,556.99,12.57,2.88,False,False,True
721,555.82,12.49,2.84,True,False,True
722,551.03,12.43,2.84,True,False,True
723,554.60,12.53,2.85,True,False,True
724,580.76,13.10,3.09,False,False,True
725,579.08,12.88,2.98,False,False,True
726,558.11,12.23,2.82,True,False,True
727,551.75,12.20,2.80,True,False,True
728,561.85,13.02,2.96,False,False,True
729,528.71,12.42,2.83,True,True,True
730,541.27,12.57,2.85,True,False,True
731,540.88,12.32,2.81,True,False,True
732,535.73,12.30,2.81,True,False,True
733,562.23,12.90,2.93,False,False,True
734,537.95,12.32,2.81,True,False,True
735,534.14,12.26,2.79,True,False,True
736,543.92,12.31,2.81,True,False,True
737,574.59,14.04,3.40,False,False,True
738,556.35,12.67,2.95,False,False,True
739,522.57,11.83,2.76,True,True,True
740,564.18,15.14,3.45,False,False,True
741,546.62,11.95,2.78,True,False,True
742,546.54,11.97,2.80,True,False,True
743,569.13,12.88,3.00,False,False,True
744,558.51,12.02,2.81,True,False,True
745,591.59,17.33,3.81,False,False,True
746,553.47,12.00,2.81,True,False,True
747,557.68,12.04,2.81,True,False,True
748,556.64,12.00,2.81,True,False,True
749,551.94,11.98,2.80,True,False,True
750,562.61,12.00,2.81,True,False,True
751,556.54,11.97,2.80,True,False,True
752,544.51,11.95,2.79,True,False,True
753,532.31,11.86,2.77,True,False,True
754,544.12,11.90,2.77,True,False,True
755,543.85,11.90,2.78,True,False,True
756,533.11,11.89,2.80,True,False,True
757,535.76,11.92,2.80,True,False,True
758,534.71,11.88,2.79,True,False,True
759,530.30,11.86,2.78,True,False,True
760,539.73,11.90,2.80,True,False,True
761,534.00,11.85,2.79,True,False,True
762,548.32,11.89,2.80,True,False,True
763,535.80,11.81,2.78,True,False,True
764,548.31,11.86,2.79,True,False,True
765,548.27,11.87,2.79,True,False,True
766,547.49,11.89,2.81,True,False,True
767,534.51,11.94,2.81,True,False,True
768,547.94,12.16,2.84,True,False,True
769,549.25,12.37,2.87,False,False,True
770,548.58,12.54,2.90,False,False,True
771,556.35,12.75,2.92,False,False,True
772,557.68,12.89,2.94,False,False,True
773,552.73,12.87,2.93,False,False,True
774,555.78,12.44,2.90,False,False,True
775,549.62,12.41,2.89,False,False,True
776,536.98,12.39,2.88,True,False,True
777,524.56,12.29,2.86,True,True,True
778,536.22,12.32,2.86,True,False,True
779,535.67,12.32,2.86,True,False,True
780,530.84,12.30,2.87,True,False,True
781,534.75,12.38,2.87,True,False,True
782,535.13,12.49,2.89,True,False,True
783,531.88,12.65,2.90,True,False,True
784,544.96,12.89,2.94,False,False,True
785,543.13,13.00,2.95,False,False,True
786,557.75,13.06,2.96,False,False,True
787,543.90,12.94,2.94,False,False,True
788,556.52,12.98,2.93,False,False,True
789,555.39,12.95,2.93,False,False,True
790,576.50,13.57,3.05,False,False,True
791,561.43,13.86,3.11,False,False,True
792,564.48,14.40,3.22,False,False,True
793,564.74,14.75,3.31,False,False,True
794,582.11,15.38,3.44,False,False,True
795,585.78,15.54,3.46,False,False,True
796,585.18,15.63,3.48,False,False,True
797,580.82,15.73,3.49,False,False,True
798,591.67,15.74,3.51,False,False,True
799,585.80,15.70,3.49,False,False,True
800,574.21,15.74,3.47,False,False,True
801,562.80,15.67,3.44,False,False,True
802,575.18,15.70,3.44,False,False,True
803,574.92,15.66,3.43,False,False,True
804,570.24,15.54,3.41,False,False,True
805,573.15,15.47,3.38,False,False,True
806,571.52,15.31,3.34,False,False,True
807,567.28,15.17,3.31,False,False,True
808,577.25,15.12,3.30,False,False,True
809,571.20,14.95,3.26,False,False,True
810,558.96,13.90,3.12,False,False,True
811,546.29,13.81,3.10,False,False,True
812,559.10,13.88,3.11,False,False,True
813,558.73,13.88,3.10,False,False,True
814,560.37,13.87,3.12,False,False,True
815,546.26,13.78,3.09,False,False,True
816,558.71,13.83,3.09,False,False,True
817,558.52,13.83,3.09,False,False,True
818,553.91,13.81,3.09,False,False,True
819,558.22,13.84,3.09,False,False,True
820,557.16,13.81,3.09,False,False,True
821,552.49,13.79,3.07,False,False,True
822,563.38,13.81,3.08,False,False,True
823,557.49,13.77,3.07,False,False,True
824,545.27,13.74,3.06,False,False,True
825,533.18,13.64,3.03,True,False,True
826,545.09,13.68,3.04,False,False,True
827,545.20,13.64,3.03,False,False,True
828,538.25,13.00,2.94,False,False,True
829,541.20,13.03,2.94,False,False,True
830,540.75,13.00,2.94,False,False,True
831,536.69,12.98,2.94,True,False,True
832,546.79,13.06,2.96,False,False,True
833,541.32,13.02,2.95,False,False,True
834,556.52,13.10,2.96,False,False,True
835,543.95,13.05,2.94,False,False,True
836,556.78,13.12,2.95,False,False,True
837,557.15,13.14,2.95,False,False,True
838,554.37,13.15,2.95,False,False,True
839,540.73,13.09,2.93,False,False,True
840,553.25,13.13,2.94,False,False,True
841,553.86,13.13,2.94,False,False,True
842,549.23,13.09,2.94,False,False,True
843,553.35,13.13,2.94,False,False,True
844,552.31,13.10,2.94,False,False,True
845,547.58,13.09,2.93,False,False,True
846,556.78,12.75,2.90,False,False,True
847,550.65,12.71,2.89,False,False,True
